track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s,class
Wonderman (feat. Ellie Goulding),Tinie Tempah,0.619,0.745,11,-4.801,0,0.13,0.178,0,0.202,0.532,91.969,219.08,1
Tonight (I'm Fuckin' You),Enrique Iglesias,0.669,0.857,5,-5.175,0,0.042,0.0296,9.32E-06,0.0891,0.291,125.963,234.187,1
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,0.603,0.745,4,-5.79,1,0.0368,0.207,0,0.348,0.606,81.981,228,1
Lights On (feat. Ms Dynamite) - Single Mix,Katy B,0.852,0.858,5,-3.759,0,0.0795,0.113,0,0.224,0.824,127.983,204.027,1
How We Roll,Loick Essien,0.656,0.83,5,-4.634,0,0.0518,0.036,0,0.387,0.627,104.968,213.52,1
Good Girl,Alexis Jordan,0.719,0.591,9,-5.503,1,0.0429,0.122,0,0.0783,0.576,126.977,236.4,1
Unorthodox (feat. Example) - Radio Edit,Wretch 32,0.71,0.955,2,-3.877,1,0.035,0.00507,1.38E-05,0.216,0.527,111.984,183.844,1
Stay Awake - Radio Edit,Example,0.532,0.958,9,-3.619,0,0.139,0.00794,0,0.0936,0.322,134.886,204.196,1
Mr. Know It All,Kelly Clarkson,0.676,0.807,5,-5.131,1,0.029,0.0284,0,0.0701,0.443,95.956,232.52,1
Gold Forever,The Wanted,0.601,0.756,0,-4.939,1,0.0287,0.0546,0,0.0775,0.191,127.995,238.293,1
Bass Down Low,DEV,0.798,0.627,0,-8.086,1,0.0602,0.0778,0,0.0472,0.84,113.029,210.6,1
I Won't Let You Go,James Morrison,0.537,0.611,0,-6.427,1,0.0304,0.229,0,0.146,0.161,105.955,229.303,1
Somebody That I Used To Know,Gotye,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,244.973,1
Call Me Maybe,Carly Rae Jepsen,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28E-06,0.108,0.66,120.021,193.4,1
We Are Young (feat. Janelle Monáe),fun.,0.378,0.638,10,-5.576,1,0.075,0.02,7.66E-05,0.0849,0.735,184.086,250.627,1
Titanium (feat. Sia),David Guetta,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245.04,1
Impossible,James Arthur,0.376,0.696,0,-4.785,0,0.0949,0.141,0,0.11,0.303,169.515,209.44,1
Gangnam Style (강남스타일),PSY,0.727,0.937,11,-2.871,0,0.287,0.00417,0,0.091,0.749,132.067,219.493,1
Starships,Nicki Minaj,0.747,0.716,11,-2.457,0,0.075,0.135,0,0.251,0.751,125.008,210.627,1
Domino,Jessie J,0.757,0.547,7,-4.573,1,0.0355,0.0115,0,0.0445,0.793,126.977,231.693,1
Payphone,Maroon 5,0.739,0.756,4,-4.828,1,0.0394,0.0136,0,0.37,0.523,110.028,231.387,1
Wild Ones (feat. Sia),Flo Rida,0.608,0.86,5,-5.324,0,0.0554,0.0991,0,0.262,0.437,127.075,232.947,1
Diamonds,Rihanna,0.564,0.71,11,-4.92,0,0.0461,0.00125,0,0.109,0.393,91.972,225.147,1
Beneath Your Beautiful,Labrinth,0.558,0.522,2,-5.857,1,0.036,0.228,0,0.104,0.228,83.977,271.813,1
Don't You Worry Child - Radio Edit,Swedish House Mafia,0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.438,129.042,212.862,1
Next To Me,Emeli Sandé,0.674,0.81,7,-5.117,0,0.0378,0.0923,4.74E-05,0.11,0.391,94.995,196.867,1
Whistle,Flo Rida,0.747,0.937,0,-5.746,1,0.0453,0.0208,0,0.29,0.739,103.976,224.653,1
Feel the Love,Rudimental,0.389,0.706,1,-6.849,1,0.0593,0.0026,0.000182,0.686,0.238,179.911,245.187,1
Mama Do The Hump,Rizzle Kicks,0.719,0.889,7,-4.088,1,0.127,0.00722,0,0.0731,0.562,97.987,216.013,1
Too Close,Alex Clare,0.584,0.712,11,-4.311,0,0.0395,0.0112,1.05E-06,0.114,0.286,126.043,256.56,1
Spectrum,Florence + The Machine,0.573,0.873,11,-5.555,0,0.0506,0.0792,0.000291,0.1,0.11,123.14,311.613,1
Skyfall,Adele,0.346,0.552,0,-6.864,0,0.0282,0.417,0,0.114,0.0789,75.881,286.48,1
Hall of Fame,The Script,0.421,0.873,10,-4.343,1,0.0565,0.0653,0,0.123,0.63,84.803,202.533,1
Candy,Robbie Williams,0.715,0.791,10,-6.63,1,0.0414,0.0368,0,0.0694,0.879,116.043,201.053,1
Drive By,Train,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06E-05,0.0801,0.721,122.028,195.973,1
Hot Right Now - Edit,DJ Fresh,0.512,0.962,4,-2.072,0,0.0399,0.00503,0.0138,0.118,0.388,174.953,178.971,1
Princess of China,Coldplay,0.425,0.69,0,-6.221,1,0.0351,0.00385,0.0154,0.287,0.233,84.99,239.216,1
We Are Never Ever Getting Back Together,Taylor Swift,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65E-05,0.102,0.75,85.984,191.88,1
Black Heart,Stooshe,0.644,0.884,8,-4.269,1,0.083,0.0272,2.29E-06,0.107,0.664,109.898,207.799,1
R.I.P.,Rita Ora,0.597,0.833,11,-3.459,0,0.0569,0.0329,0,0.633,0.317,144.101,228.92,1
Troublemaker (feat. Flo Rida),Olly Murs,0.761,0.856,0,-3.65,0,0.0731,0.02,0,0.149,0.967,106.009,185.2,1
Sexy And I Know It,LMFAO,0.707,0.861,7,-4.225,1,0.316,0.1,0,0.191,0.795,130.021,199.48,1
Ni**as In Paris,JAY-Z,0.788,0.859,1,-5.542,1,0.315,0.127,0,0.348,0.769,140.027,219.333,1
Where Have You Been,Rihanna,0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.221,0.444,127.963,242.68,1
Locked out of Heaven,Bruno Mars,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,233.478,1
Call My Name,Cheryl,0.696,0.94,8,-3.498,1,0.064,0.00272,1.34E-06,0.0987,0.7,128.005,207.976,1
Turn Me On (feat. Nicki Minaj),David Guetta,0.704,0.793,8,-2.266,1,0.0591,0.0488,0,0.575,0.412,127.96,199.68,1
Stronger (What Doesn't Kill You),Kelly Clarkson,0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,221.947,1
Don't Wake Me Up,Chris Brown,0.602,0.691,7,-5.197,0,0.051,0.0548,0,0.144,0.206,127.967,222.307,1
Heatwave,Wiley,0.644,0.863,5,-5.404,1,0.318,0.109,0,0.109,0.642,129.275,195,1
This Is Love,will.i.am,0.535,0.796,0,-3.446,0,0.0445,0.00473,0,0.145,0.282,128.954,279.027,1
Wings,Little Mix,0.738,0.875,7,-3.141,1,0.127,0.000673,0.000556,0.285,0.538,114.962,219.733,1
She Doesn't Mind,Sean Paul,0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3E-06,0.207,0.622,120.015,227.787,1
Bom Bom - Radio Edit,Sam And The Womp,0.755,0.925,0,-3.977,1,0.257,0.0213,3.32E-05,0.101,0.804,125.06,174.034,1
Young - Gregor Salto Edit,Tulisa,0.655,0.838,5,-4.836,0,0.0347,0.011,0.00551,0.0959,0.725,127.969,196.867,1
